configuration_id,particle_id,x,y,z
0,0,-25.99366887242098,54.111413302677114,43.26322337589433
0,1,-26.111280526704,47.16745523535759,46.28284407847889
0,2,-27.412976956940383,43.619469402909445,29.55241623253789
0,3,-16.177955638954767,48.858466145609974,19.84000576330574
0,4,-22.517235145067687,42.43313571925459,19.093185770441888
0,5,-25.23017949729011,46.98707446515562,26.23278403700641
1,0,-11.495437261360754,24.28319374022567,66.51367932909395
1,1,-4.152238340362027,28.479516516794348,66.69421583272393
1,2,-5.271808676057506,24.143220534234718,64.82965057158574
1,3,-7.711457728509803,28.081252184472756,57.901030629200655
1,4,-14.206278085213743,29.823118330132992,55.3115148627073
1,5,-15.872446135471334,31.753937784537637,58.92359970017442
2,0,-33.35117889060762,-14.191306748874291,62.59522386084148
2,1,-37.868466164430785,-5.4223841503203065,63.95227025036303
2,2,-39.9802710701033,-8.980441067601838,69.32152852482706
2,3,-52.07983551135713,-18.255754327466555,62.02640957839485
2,4,-56.34617323062164,-16.57633463309368,71.14949257504108
2,5,-64.81953688201767,-26.011385158001787,66.41388855678049
3,0,-27.723022622470225,-12.14437150640821,58.500861336938485
3,1,-29.356193210681283,-13.292741044294502,45.42851886024913
3,2,-31.381327037147734,-5.110101947598309,47.94959384496082
3,3,-34.34071706412313,-15.632436569711782,55.77920461241375
3,4,-33.68250952759092,-25.869036653027692,47.213664753382275
3,5,-33.09548126141549,-34.8774293199601,43.36987872356816
4,0,-57.039142345240336,-24.03186862976209,83.21024116776722
4,1,-44.979658197295265,-29.19799015285147,81.87098112636303
4,2,-48.974914553769224,-35.520725489105395,83.46839786478162
4,3,-53.088280254334386,-34.8401546905303,89.85040580836535
4,4,-61.95473799164681,-44.27662024414597,82.82765300724684
4,5,-58.88270202890012,-37.293265407039925,85.34353982366795
5,0,-98.7548538131054,-30.333837622606357,60.69391209221683
5,1,-100.0427372222367,-32.18351435985366,56.83040082941707
5,2,-109.89518450231157,-30.6024999058843,59.51851017455298
5,3,-119.8904459529723,-24.511462310806568,58.01576853605171
5,4,-118.85123168168714,-25.489834976338358,57.74993184878891
5,5,-117.6709505901255,-30.173346023962445,53.120849729077136
6,0,-76.84817609759904,-30.28863664114848,55.235007392305775
6,1,-85.05402010310789,-31.934063019277495,56.41827426648147
6,2,-92.46003307194604,-29.64802299847066,58.600065380933565
6,3,-89.42917043301799,-26.46764293827764,48.26015115730897
6,4,-87.5234217713239,-25.591564712203123,50.15029642999959
6,5,-88.9844503406991,-34.271953914212816,55.42403165008804
7,0,-22.65436252802463,-49.65165864263393,25.09839756911832
7,1,-25.51971854349362,-51.93940748704556,26.37682232156248
7,2,-20.653055651640877,-37.91067993721954,31.074595231456385
7,3,-6.735588350256668,-37.98817469843814,38.57764514348287
7,4,9.179317986499292,-37.733117238126376,47.3192317200849
7,5,5.182216782741538,-44.300976264174956,39.314912283198254
8,0,-24.443308983984085,-7.083727092569373,70.55354199260685
8,1,-28.268444650146993,-1.3850190096277508,70.98362421073934
8,2,-34.908316981892035,2.807804580822805,69.71206526725821
8,3,-31.391033274470324,10.045583679984505,67.63301971589293
8,4,-26.966036509892223,-0.9823668484231831,58.60301904750184
8,5,-30.59003688883023,1.5073159400834255,66.82236303420451
9,0,-13.975850946553683,20.818945999572925,80.93812867485516
9,1,-15.340904327959587,9.14663426283313,84.44809596863057
9,2,-13.882567922101632,2.876058175179616,86.79119885567351
9,3,-19.917946083275258,1.348740266092328,90.18241552844371
9,4,-12.9399889849394,-0.6510643922284112,95.40674482521356
9,5,-9.508448025167775,6.169505449129817,102.41347178350978
10,0,29.228526455039514,37.586898902600765,75.54012594773566
10,1,26.012177670111218,44.93460581776239,87.14081254595311
10,2,28.221462683106743,40.05445978458367,90.75931399501563
10,3,21.62264860788833,40.984791458393246,91.41868289806114
10,4,22.143896471198833,27.83730144883035,88.3389196281128
10,5,15.744348211562516,31.36427679046195,77.51756018381785
11,0,34.31112528729557,39.120622327361716,83.04860221695736
11,1,12.133725402585302,42.858128327469664,91.59410303631347
11,2,12.942065862832674,53.35079722769094,81.77408912607085
11,3,1.051167145442152,52.43125748795678,90.32113299485322
11,4,-8.3269108648608,46.82162636709238,99.33076832530276
11,5,-19.25739904836724,42.78272818041425,101.34510801968344
12,0,57.99303137994165,40.031176926234316,85.96609242701042
12,1,58.5863608557283,34.309796778075565,75.77999575882545
12,2,68.73925721100198,37.635839573558826,75.35347830451232
12,3,71.85529740317882,40.06229203466463,65.36177660535463
12,4,70.40370921243482,40.24065791288114,60.414554458847356
12,5,76.78621382003661,42.759050781392936,62.04601016859208
13,0,68.2699748190562,45.89501346891222,79.14365119836131
13,1,74.74100360966037,42.75720223901701,72.46231087377163
13,2,74.85223885232755,42.4257940311784,63.18166690765753
13,3,77.54982286992858,43.51435474261218,67.4114016365026
13,4,79.86818293216966,36.30919889295818,75.8514154950262
13,5,87.20360146982301,46.17483037918572,77.64098947960136
14,0,61.098493325516124,67.17880796355922,31.302745905212266
14,1,66.38932742682874,59.87414377241351,24.90864769487831
14,2,63.82692450270765,65.10192908742799,17.82593106465312
14,3,61.50064364603086,73.8868700875654,8.572202200377268
14,4,66.30719038993642,71.54414374242864,9.25116216930572
14,5,69.45897697611042,63.25212540256305,4.201745020780542
15,0,79.76612319014758,107.80181974949312,-7.915652423375372
15,1,84.97098731026284,107.75953513627347,3.6102397955600267
15,2,87.66818538081593,102.18369120743547,1.594703958985344
15,3,85.15558995198217,107.86651172393127,2.3998566555550256
15,4,96.7954110663652,103.02370184654424,0.7996163545173931
15,5,91.60605283003989,102.1585734217382,0.20081238691848702
16,0,74.67340494680805,104.81981725081788,-18.533170580198274
16,1,78.5183368959861,96.59863981682525,-25.164280269635327
16,2,83.50045784554649,101.47203363366106,-26.351882237491747
16,3,89.87118973536663,103.15267683271084,-27.51128856387974
16,4,84.31678467891274,102.39841512523624,-25.65391069708427
16,5,90.4376097401321,99.94000417042685,-30.66334058170871
17,0,80.36138990519433,114.7746720703891,47.25177855509069
17,1,84.78843753121873,111.00844067313318,42.35439621725422
17,2,80.59263904215184,113.50958050420974,41.47342967855465
17,3,84.66255179089994,122.28876650527431,49.413314467671704
17,4,81.95880553003872,124.76926584283675,49.735134166098284
17,5,75.64321212450595,122.6238400095946,50.9725436530113
18,0,126.47012694902644,150.52936747560295,77.30411597477519
18,1,126.96413229610852,149.29820967585707,77.06613187324308
18,2,117.0403259792388,145.59759096947374,75.06994933347858
18,3,120.38164359215546,129.11546273487585,63.171228851695275
18,4,118.05258701494763,124.20823404922166,66.24230529720664
18,5,119.79286964302071,125.42245363755843,61.56179907567009
19,0,137.9061064897479,150.3917504739733,101.09026757796704
19,1,142.7080507801129,155.1913678849183,106.69381074854893
19,2,133.8825108764458,157.56892210763326,102.80709760732304
19,3,142.28526637984532,166.55886144115016,102.063855712071
19,4,140.23873570734207,155.00372417867942,101.05887210553487
19,5,141.68464133301705,151.5854078230251,104.40897143023709
20,0,152.76243448673537,205.1230053141764,131.6048355439316
20,1,155.2259351709382,212.37195876968104,130.13807787343688
20,2,154.65896962544167,205.78121079893782,127.3472419682448
20,3,151.22610653920202,209.68115902052847,129.35603357163967
20,4,149.5692323170528,210.57833454783474,126.1650763111806
20,5,137.51078359134826,208.03944524307096,129.39304211017895
21,0,146.58964719093538,235.19428839325766,106.5784450271795
21,1,144.30321959207885,240.84203590764827,99.97674799317969
21,2,148.9121466495565,243.50333665643234,107.01087413659019
21,3,143.02928844126436,243.35717937060392,110.83609093643402
21,4,139.393947583693,241.95018129143313,100.67650169000663
21,5,141.22526821804448,243.5601006892874,101.04861390022064
22,0,150.75322219369528,250.88086505680923,103.28430973511061
22,1,148.43463213092872,252.04067479098558,104.68823437013194
22,2,142.71115741996363,237.67479103365375,105.7508348468706
22,3,149.978883884096,235.19138677254332,104.87092356068106
22,4,144.01760337684715,234.7139828551703,102.8856458390781
22,5,149.41759673573824,237.81484178918308,106.68399771303818
23,0,146.0531148937309,272.79804664103546,96.97837242777078
23,1,140.9384878061381,268.6796350768382,89.35179521700879
23,2,148.09426819755964,269.0594126780898,81.15935544388493
23,3,142.257441764275,272.9877985687633,76.53982510730978
23,4,142.51986803121727,275.4925092526643,80.66765858785519
23,5,145.1536126085025,271.851738946305,85.49131017983547
24,0,117.42064608769417,262.12254758793546,106.82363202433854
24,1,116.0583300072821,265.80113288526593,105.15763308064537
24,2,117.9211012598467,268.76786095372637,100.27971992872591
24,3,119.95257731419568,272.4456920376164,95.88368540679366
24,4,125.43182193034656,276.7902915175365,103.29419498449917
24,5,125.08843693814498,280.50863425847604,99.6378284644869
25,0,97.22949915913489,276.8734028352221,102.10122500180715
25,1,93.60024816980027,275.8524216038494,101.47061297105247
25,2,91.14116425319108,275.5542542847596,99.85012598719395
25,3,100.0531016181836,274.9156456748386,99.26718876060568
25,4,96.30897091329236,271.96378889996566,92.60394294601969
25,5,90.9299178050177,264.33900384421605,93.82325682200262
26,0,128.46971068475702,258.61427765950395,101.06318301548998
26,1,132.37028761288914,250.7974918005984,98.42671728516453
26,2,136.1646600019012,258.9543313455981,107.63145347224669
26,3,123.8119896978802,256.1539913376438,101.97454727323621
26,4,128.84750334076568,266.60878905025936,105.14877149974227
26,5,127.95971676342005,274.43330444785573,102.3456186820605
27,0,146.53698256229376,251.5485758360019,116.04223511132619
27,1,158.73744690970247,251.1838981547543,106.89901756192536
27,2,155.8167844430137,247.58155984042256,104.93500721394864
27,3,160.36023314943637,259.7356651417852,104.47679120189825
27,4,157.74140896946597,254.08965847324217,99.84205553553458
27,5,160.67326851793598,254.3307194148372,94.49844279719618
28,0,187.42818994740358,244.0516658936157,153.05729417229125
28,1,189.0917688579945,243.46181485105973,153.60261943791988
28,2,177.10162010270685,247.90676461798944,155.59926439009328
28,3,185.61581417285404,252.67464424250113,162.02021462755079
28,4,202.52005915696742,259.94269888379847,155.06476366144847
28,5,191.6093326433404,258.68181551235347,160.49613529816503
29,0,172.82690811290266,251.40554370039865,150.1239590582689
29,1,178.380713949278,247.48795528017743,138.25958199949898
29,2,193.04712732105386,246.69582154315918,144.1193236065867
29,3,192.84695690559252,244.0193410855005,139.7272708550624
29,4,189.28828587726142,243.05182634298134,139.59453051108355
29,5,180.32781140485184,236.89849573568438,137.67772975027722
30,0,191.31917805348724,302.4424652652855,156.5683048532071
30,1,189.28507693616083,301.54548601990064,155.54758328562957
30,2,185.14029379429962,309.46062302035955,163.74693936566118
30,3,187.54617234639906,298.9765327019158,159.48262754724527
30,4,197.00943655154634,292.02217084317516,168.07854412425854
30,5,197.13297215650286,291.8837504204581,174.49147566033147
31,0,184.120545474073,294.10594637151615,188.82902624616497
31,1,189.09903760102162,296.3320475029082,175.8347869937895
31,2,189.05778209939132,299.056696362987,178.7258855570775
31,3,196.01640887088433,296.0528894741321,174.97477595402455
31,4,203.98258047652607,294.29691986676613,166.06003819143046
31,5,211.94258048609328,297.3952660591683,164.58006332442707
32,0,182.48557699223727,306.4832416466443,181.23013043105885
32,1,180.52044306214003,312.39621331755257,167.40512980361382
32,2,177.30576545255704,308.0086427122947,165.46566034609515
32,3,184.9004196699136,311.9789143248969,167.43506971113
32,4,180.57549867042198,318.09778805521125,165.20419506305717
32,5,181.09978288210837,321.76497051589513,173.8429888801806
33,0,214.81303241446193,316.60476203775625,173.93097675395825
33,1,217.97263632980508,313.66294852483094,174.77945648243664
33,2,218.5697010622414,312.19000436573583,175.0793900235794
33,3,218.72243007149504,309.74348539651317,175.57090626611145
33,4,223.37429315723787,314.12142054792366,183.9553630125436
33,5,223.04554055191704,311.00263141383556,184.87837397322758
34,0,242.89502993205554,298.4585448087756,118.82284448125485
34,1,245.0456912475977,294.7461307714222,115.16079009540368
34,2,250.0922588159821,312.92478936163855,114.5713219577814
34,3,252.2431762452148,320.15920257941866,116.08476793891727
34,4,258.5331484269815,324.8137121956459,123.85547892156988
34,5,259.5542721733051,327.12022359222783,122.49844193220973
35,0,235.24403412291667,307.1652932584949,107.00160342568587
35,1,231.2217945194313,311.7246519760927,100.41981552918591
35,2,238.268958259906,316.0480758147648,92.66219745193037
35,3,241.44262184174454,318.86507988147645,98.598619906308
35,4,237.80061730593516,320.3856479114485,92.87192132410807
35,5,228.88407649196233,323.0486138896199,96.69404768596286
