configuration_id,particle_id,x,y,z
0,0,-25.99366887242098,54.11141330267712,43.26322337589433
0,1,-26.060373744338513,50.29282038071772,44.89348370019363
0,2,-26.74859495543604,48.36434570988363,35.801996802139875
0,3,-20.656612719020135,51.194558648147414,30.496008305769184
0,4,-24.100476861786014,47.70583024358286,30.08433881025468
0,5,-25.599738250044492,50.194441697760396,34.00126110035435
1,0,-11.495437261360754,24.28319374022567,66.51367932909395
1,1,-7.466669255079097,26.57939623746282,66.60969117841195
1,2,-8.070122237341991,24.224229345055846,65.58015095834406
1,3,-9.413744845478899,26.368699647497138,61.79239405613867
1,4,-12.965706159912399,27.329131242033384,60.373461500733534
1,5,-13.892049003069241,28.39309205714672,62.354205480830316
2,0,-33.35117889060762,-14.191306748874291,62.59522386084148
2,1,-35.83259180940361,-9.387083904634867,63.34843086360953
2,2,-37.01291688266423,-11.330388940969296,66.2698837690243
2,3,-43.59183145787913,-16.368705691399157,62.33335742447617
2,4,-45.951748972757265,-15.483988139049114,67.28732998257803
2,5,-50.59766914537325,-20.646604414148236,64.70975208695701
3,0,-27.723022622470225,-12.14437150640821,58.500861336938485
3,1,-28.620640518680986,-12.75975259505923,51.34697252047652
3,2,-29.732982795073106,-8.315093079452897,52.71359007403516
3,3,-31.34575877210955,-14.044906389467236,56.96456443878083
3,4,-30.991445017384915,-19.648118219732936,52.309462491621446
3,5,-30.668339015724317,-24.60678641056275,50.186753426513846
4,0,-57.039142345240336,-24.03186862976209,83.21024116776722
4,1,-50.442139801796344,-26.871149035272126,82.47952578349485
4,2,-52.60949529697702,-30.329344827902563,83.35959376080942
4,3,-54.87559617824753,-29.98382692664316,86.83378687363727
4,4,-59.69844253713188,-35.10233616591526,83.02975495296197
4,5,-58.026609267799145,-31.284185595392213,84.39934437766051
5,0,-98.7548538131054,-30.33383762260636,60.69391209221683
5,1,-99.47887174406435,-31.347697142159,58.57516596236966
5,2,-104.86850186362946,-30.47883377747933,60.031774323364615
5,3,-110.3277841931085,-27.159831230950733,59.21713008156122
5,4,-109.7743951769055,-27.692182894157366,59.06176701700885
5,5,-109.12446469268367,-30.266104520092835,56.51889215165354
6,0,-76.84817609759904,-30.28863664114848,55.235007392305775
6,1,-81.36446321470832,-31.188023476596435,55.88805649391426
6,2,-85.41436759590836,-29.938035441069736,57.06359180007847
6,3,-83.7718718314238,-28.19985598940835,51.43596353771187
6,4,-82.72799059317133,-27.73023232164817,52.46045539869223
6,5,-83.52616789832665,-32.489634277853504,55.355970643899575
7,0,-22.65436252802463,-49.65165864263393,25.09839756911832
7,1,-24.22110207315265,-50.88581717651759,25.808821841085194
7,2,-21.558227128003566,-43.26625119734627,28.376143036897197
7,3,-13.962470883329377,-43.28486802182874,32.47476612768362
7,4,-5.315626496096877,-43.157446317063574,37.21444138784747
7,5,-7.480587410096447,-46.757763390704234,32.84068001709947
8,0,-24.443308983984085,-7.083727092569373,70.55354199260685
8,1,-26.554986154318055,-3.947091656211154,70.78764334144975
8,2,-30.178925081924167,-1.637804817941825,70.09101667965359
8,3,-28.26338933306657,2.3001244182833687,68.93966767100443
8,4,-25.857825613339312,-3.67956652321284,64.04035848098468
8,5,-27.838989077665797,-2.331685955012115,68.53537480038034
9,0,-13.975850946553685,20.818945999572925,80.93812867485516
9,1,-14.72135561832215,14.413587939717015,82.86503579289206
9,2,-13.937368061088453,10.968618691026391,84.15553882015806
9,3,-17.218075358445336,10.121308813526118,86.01916994357288
9,4,-13.415868466441841,9.039140628686201,88.88613657906069
9,5,-11.522428933538595,12.776464836064118,92.73745947013222
10,0,29.228526455039518,37.586898902600765,75.54012594773566
10,1,27.471950894190076,41.60001260804134,81.89470321122289
10,2,28.662042682670446,38.94916986280899,83.89058467276566
10,3,25.063913857562987,39.42745238930625,84.25143144953601
10,4,25.326211585581056,32.28006691905835,82.55870654239187
10,5,21.822484506787294,34.18985299247871,76.62755077956679
11,0,34.31112528729557,39.12062232736172,83.04860221695736
11,1,22.28475925404228,41.164865070928734,87.6670359909433
11,2,22.66786872673064,46.876296062664395,82.35446559341212
11,3,16.187826313757487,46.38431403887368,87.00074877330978
11,4,11.049083147466401,43.32483355863257,91.91886746436703
11,5,5.043503915309323,41.102195434046,93.03764878512783
12,0,57.99303137994165,40.03117692623432,85.96609242701042
12,1,58.33494111918073,36.901013453369046,80.38279412282655
12,2,63.87495819589929,38.708456615726426,80.11710090566473
12,3,65.58764847535069,40.03672490083919,74.66236530751596
12,4,64.81048286144588,40.14228666974951,71.94657859603802
12,5,68.31317110773928,41.525607149954645,72.83436020909961
13,0,68.2699748190562,45.89501346891222,79.14365119836131
13,1,71.8199915397628,44.17315418858107,75.4631821151378
13,2,71.89574826531059,43.98899699058542,70.39731429924055
13,3,73.37314002099951,44.571168462084984,72.70612637312468
13,4,74.65288217607173,40.66328259706795,77.31477108422581
13,5,78.67530877598156,46.05615554206633,78.30907754028476
14,0,61.09849332551613,67.17880796355922,31.302745905212262
14,1,63.99493989681086,63.18269367724579,27.785535560398177
14,2,62.602203589032364,66.03655387914309,23.89656305939968
14,3,61.33953927870027,70.82350487273168,18.84858350904221
14,4,63.965967393280366,69.54484354628725,19.19581962322251
14,5,65.70253550441332,64.99306114341098,16.427441659455763
15,0,79.76612319014758,107.80181974949312,-7.915652423375372
15,1,82.62158102159034,107.76950624205864,-1.6055098771364635
15,2,84.0986835382491,104.73447119500598,-2.685602784873544
15,3,82.75034317259606,107.82027104867555,-2.251888872304935
15,4,89.07513480959722,105.19142708737343,-3.1228268190639707
15,5,86.2430763343904,104.70810609407266,-3.4544763535336696
16,0,74.67340494680805,104.81981725081788,-18.533170580198277
16,1,76.78937587259885,100.3210510121836,-22.170249091591224
16,2,79.52578342095659,102.97052623768388,-22.831366966896237
16,3,83.00293997048581,103.89479839632017,-23.463269387922765
16,4,79.9903766141234,103.48163771077267,-22.459160997120346
16,5,83.34115444015026,102.13090801437917,-25.205930166038385
17,0,80.36138990519433,114.7746720703891,47.25177855509069
17,1,82.78524203902482,112.71089631363431,44.561361549466405
17,2,80.50747368179452,114.08527427015142,44.08518082628161
17,3,82.71231131841101,118.8738514383709,48.407672184876816
17,4,81.2314390539085,120.2399706237876,48.59859824761039
17,5,77.75838753142847,119.06577199132012,49.27875016960804
18,0,126.47012694902644,150.52936747560295,77.30411597477519
18,1,126.72536002032723,149.8463621771593,77.16995616640912
18,2,121.32287828024374,147.80007591028198,76.06188576369335
18,3,123.110703535495,138.86803948562593,69.6256063366094
18,4,121.84736983077009,136.16328496135554,71.27505327123512
18,5,122.79976900725383,136.82233897435572,68.70830491309452
19,0,137.9061064897479,150.3917504739733,101.09026757796704
19,1,140.52697291317006,153.02979716015474,104.15917816141122
